Scene,Parameter,Param Value,Overall Score,Best Frame,Best Frame Error,Worst Frame,Worst Frame Error,Mean Error,Std Dev,Median Error,Total Frames
factory,alpha_weight,0.01,87.53,390,5.26,121,15.93,12.49,2.05,12.87,419
factory,alpha_weight,0.02,88.25,390,4.9,91,15.01,11.77,1.96,12.2,419
factory,alpha_weight,0.04,89.33,390,4.4,91,13.61,10.68,1.8,11.11,419
factory,alpha_weight,0.06,90.07,390,4.07,91,12.7,9.94,1.67,10.38,419
factory,alpha_weight,0.1,91.05,390,3.65,91,11.33,8.96,1.48,9.36,419
factory,alpha_weight,0.2,92.23,390,3.16,117,9.74,7.78,1.23,8.09,419
factory,alpha_weight,0.5,93.37,390,2.72,117,8.2,6.64,1.0,6.84,419
factory,alpha_weight,1.0,93.67,240,2.53,327,7.89,6.34,0.94,6.44,419
parking,alpha_weight,0.01,61.99,29,11.91,267,60.99,37.2,11.23,41.25,309
parking,alpha_weight,0.02,63.33,29,11.71,267,57.59,35.84,10.57,39.84,309
parking,alpha_weight,0.04,65.74,29,11.31,267,52.25,33.43,9.48,36.87,309
parking,alpha_weight,0.06,67.79,29,10.92,267,48.1,31.37,8.6,34.6,309
parking,alpha_weight,0.1,71.01,29,10.25,267,42.11,28.17,7.29,30.98,309
parking,alpha_weight,0.2,75.79,0,8.76,267,34.17,23.42,5.42,25.51,309
parking,alpha_weight,0.5,80.54,0,6.72,267,27.47,18.69,3.56,19.88,309
parking,alpha_weight,1.0,80.36,0,6.9,267,27.68,18.74,3.38,19.8,309
