Scene,Parameter,Value,Overall Score,25th Percentile,Median (50th),75th Percentile,95th Percentile,IQR (75th-25th),Frames Above Mean,% Frames Above Mean
factory,alpha_weight,0.01,87.53,11.01,12.87,14.02,15.14,3.01,231,55.1
factory,alpha_weight,0.02,88.25,10.33,12.2,13.24,14.26,2.91,233,55.6
factory,alpha_weight,0.04,89.33,9.35,11.11,12.06,12.95,2.72,231,55.1
factory,alpha_weight,0.06,90.07,8.69,10.38,11.23,12.05,2.54,232,55.4
factory,alpha_weight,0.1,91.05,7.89,9.36,10.07,10.82,2.18,233,55.6
factory,alpha_weight,0.2,92.23,6.96,8.09,8.63,9.31,1.67,234,55.8
factory,alpha_weight,0.5,93.37,6.14,6.84,7.32,7.85,1.18,232,55.4
factory,alpha_weight,1.0,93.67,5.95,6.44,6.98,7.43,1.04,227,54.2
parking,alpha_weight,0.01,61.99,29.06,41.25,46.15,50.44,17.08,175,56.6
parking,alpha_weight,0.02,63.33,28.6,39.84,44.52,48.34,15.92,173,56.0
parking,alpha_weight,0.04,65.74,27.31,36.87,41.19,44.48,13.88,172,55.7
parking,alpha_weight,0.06,67.79,26.16,34.6,38.26,41.5,12.1,173,56.0
parking,alpha_weight,0.1,71.01,24.37,30.98,33.84,36.72,9.47,172,55.7
parking,alpha_weight,0.2,75.79,20.96,25.51,27.36,29.74,6.4,173,56.0
parking,alpha_weight,0.5,80.54,17.41,19.88,20.92,22.64,3.51,209,67.6
parking,alpha_weight,1.0,80.36,18.17,19.8,20.89,22.23,2.71,211,68.3
