Scene,Parameter,Value,Overall Score,25th Percentile,Median (50th),75th Percentile,95th Percentile,IQR (75th-25th),Frames Above Mean,% Frames Above Mean
factory,filter_size,0.1,89.33,9.35,11.12,12.06,12.97,2.71,231,55.1
factory,filter_size,0.25,89.33,9.35,11.11,12.06,12.96,2.71,231,55.1
factory,filter_size,0.5,89.33,9.35,11.12,12.06,12.96,2.72,231,55.1
factory,filter_size,0.7,89.33,9.34,11.11,12.06,12.96,2.71,231,55.1
factory,filter_size,0.9,89.33,9.35,11.11,12.05,12.96,2.7,231,55.1
factory,filter_size,0.95,89.33,9.35,11.11,12.05,12.95,2.7,231,55.1
parking,filter_size,0.1,65.73,27.32,36.88,41.19,44.49,13.88,172,55.7
parking,filter_size,0.25,65.73,27.32,36.88,41.19,44.49,13.88,172,55.7
parking,filter_size,0.5,65.73,27.31,36.88,41.19,44.49,13.88,172,55.7
parking,filter_size,0.7,65.73,27.31,36.88,41.19,44.49,13.88,172,55.7
parking,filter_size,0.9,65.73,27.32,36.88,41.19,44.49,13.88,172,55.7
parking,filter_size,0.95,65.74,27.31,36.87,41.19,44.48,13.88,172,55.7
