Scene,Parameter,Value,Overall Score,25th Percentile,Median (50th),75th Percentile,95th Percentile,IQR (75th-25th),Frames Above Mean,% Frames Above Mean
factory,hist_percent,50.0,89.33,9.35,11.11,12.06,12.95,2.71,231,55.1
factory,hist_percent,75.0,89.33,9.35,11.11,12.05,12.97,2.7,231,55.1
factory,hist_percent,100.0,89.33,9.35,11.11,12.06,12.99,2.72,231,55.1
factory,hist_percent,125.0,89.58,9.33,10.91,11.57,12.47,2.24,235,56.1
factory,hist_percent,150.0,90.22,8.77,10.22,10.9,11.68,2.13,235,56.1
factory,hist_percent,200.0,90.54,8.53,9.89,10.46,11.22,1.93,237,56.6
parking,hist_percent,50.0,65.73,27.31,36.88,41.19,44.49,13.88,172,55.7
parking,hist_percent,75.0,65.73,27.32,36.88,41.19,44.49,13.88,172,55.7
parking,hist_percent,100.0,65.73,27.32,36.88,41.19,44.49,13.88,172,55.7
parking,hist_percent,125.0,67.03,26.79,35.31,39.19,42.43,12.4,173,56.0
parking,hist_percent,150.0,68.63,25.96,33.52,36.97,40.06,11.0,173,56.0
parking,hist_percent,200.0,70.24,24.97,31.54,34.66,37.78,9.68,172,55.7
