scene,screen_pct,cvar_name,cvar_value,frames_analysed,csv_file,avg_FrameTime,p95_FrameTime,max_FrameTime,std_FrameTime,var_FrameTime,avg_GameThreadTime,p95_GameThreadTime,max_GameThreadTime,std_GameThreadTime,var_GameThreadTime,avg_RenderThreadTime,p95_RenderThreadTime,max_RenderThreadTime,std_RenderThreadTime,var_RenderThreadTime,avg_GPUTime,p95_GPUTime,max_GPUTime,std_GPUTime,var_GPUTime,avg_RHIThreadTime,p95_RHIThreadTime,max_RHIThreadTime,std_RHIThreadTime,var_RHIThreadTime,avg_GPUMem/LocalUsedMB,p95_GPUMem/LocalUsedMB,max_GPUMem/LocalUsedMB,std_GPUMem/LocalUsedMB,var_GPUMem/LocalUsedMB,avg_GPU/TAA,p95_GPU/TAA,max_GPU/TAA,std_GPU/TAA,var_GPU/TAA
cubetest,100,r.TemporalAACurrentFrameWeight,0.01,750,Profile(20260407_172101).csv,3.9533,4.8084,9.7273,0.5377,0.2891,1.1454,1.3523,2.9288,0.1629,0.0265,3.9474,4.8023,9.6742,0.5447,0.2967,3.2466,3.8399,8.9973,0.3871,0.1499,2.1524,2.6273,5.6548,0.2737,0.0749,2435.9736,2499.4023,2499.4023,392.9891,154440.396,0.0847,0.0902,0.4414,0.0317,0.001
cubetest,100,r.TemporalAACurrentFrameWeight,0.02,750,Profile(20260407_172114).csv,3.9148,4.7434,5.8736,0.4653,0.2165,1.1407,1.3404,3.0406,0.1679,0.0282,3.909,4.7372,5.886,0.4785,0.229,3.2269,3.8377,3.953,0.3189,0.1017,2.1297,2.6153,2.8819,0.2372,0.0563,2442.5537,2499.5273,2499.5273,372.2257,138551.9902,0.0853,0.0901,0.4402,0.0344,0.0012
cubetest,100,r.TemporalAACurrentFrameWeight,0.04,750,Profile(20260407_172126).csv,3.9479,4.7792,6.2118,0.5073,0.2573,1.1436,1.3485,2.9081,0.159,0.0253,3.9416,4.8042,6.2065,0.5166,0.2668,3.2327,3.8467,4.2837,0.3275,0.1073,2.1441,2.631,2.9865,0.2349,0.0552,2444.9532,2498.4023,2498.4023,361.2204,130480.1914,0.0853,0.0901,0.4383,0.0343,0.0012
cubetest,100,r.TemporalAACurrentFrameWeight,0.06,750,Profile(20260407_172138).csv,3.9328,4.7193,6.43,0.4929,0.243,1.1433,1.3079,2.8932,0.1545,0.0239,3.9268,4.7209,6.4298,0.4995,0.2495,3.2341,3.8436,4.5488,0.3262,0.1064,2.148,2.6167,2.9596,0.2303,0.053,2447.4016,2497.4023,2497.4023,349.8621,122403.5173,0.083,0.0902,0.4455,0.0194,0.0004
cubetest,100,r.TemporalAACurrentFrameWeight,0.1,750,Profile(20260407_172150).csv,3.9486,4.7806,5.7633,0.4779,0.2284,1.1547,1.3623,3.1551,0.1652,0.0273,3.942,4.8161,5.7837,0.4911,0.2412,3.2361,3.8446,3.9971,0.3318,0.1101,2.1702,2.6477,3.1611,0.2492,0.0621,2434.6523,2498.1523,2498.1523,392.7759,154272.8925,0.0893,0.092,0.4424,0.0499,0.0025
cubetest,100,r.TemporalAACurrentFrameWeight,0.2,750,Profile(20260407_172202).csv,3.955,4.7765,5.7284,0.5003,0.2503,1.1456,1.3394,2.8202,0.1567,0.0246,3.9485,4.8107,5.7614,0.5115,0.2616,3.228,3.8355,3.9526,0.3258,0.1062,2.1524,2.6642,3.0134,0.2481,0.0616,2425.2292,2498.6523,2498.6523,421.8793,177982.1212,0.0849,0.0899,0.4374,0.0342,0.0012
cubetest,100,r.TemporalAACurrentFrameWeight,0.5,750,Profile(20260407_172213).csv,3.9497,4.7786,6.2077,0.5054,0.2555,1.148,1.3556,3.4026,0.1745,0.0304,3.9434,4.7767,6.2527,0.5111,0.2612,3.2297,3.8465,3.9392,0.325,0.1056,2.159,2.6749,3.0892,0.2532,0.0641,2429.4079,2499.6523,2499.6523,412.6065,170244.1465,0.0836,0.0899,0.4404,0.0263,0.0007
cubetest,100,r.TemporalAACurrentFrameWeight,0.6,750,Profile(20260407_172225).csv,3.925,4.7343,6.359,0.4865,0.2367,1.1418,1.3236,3.1639,0.1626,0.0265,3.9184,4.7427,6.3495,0.4918,0.2419,3.2293,3.8545,4.0098,0.3342,0.1117,2.0347,2.3085,2.7582,0.1577,0.0249,2474.7293,2501.5273,2501.5273,257.1346,66118.2034,0.0864,0.0903,0.4389,0.0408,0.0017
cubetest,100,r.TemporalAACurrentFrameWeight,0.7,750,Profile(20260407_172237).csv,3.9471,4.8117,6.1843,0.4971,0.2471,1.1457,1.3241,3.1799,0.168,0.0282,3.9407,4.8116,6.201,0.5084,0.2584,3.236,3.846,3.9897,0.3199,0.1023,2.1546,2.6466,3.0937,0.2488,0.0619,2438.6416,2498.6523,2498.6523,382.6647,146432.3003,0.0828,0.0901,0.4423,0.0191,0.0004
cubetest,100,r.TemporalAACurrentFrameWeight,0.8,750,Profile(20260407_172249).csv,3.9524,4.7902,5.6123,0.4992,0.2492,1.1378,1.3227,2.9053,0.1604,0.0257,3.946,4.7966,5.7498,0.5144,0.2646,3.2333,3.8533,4.0288,0.3347,0.112,2.1639,2.649,2.9529,0.2376,0.0565,2420.2054,2500.4023,2500.4023,440.331,193891.4134,0.0854,0.0901,0.4463,0.0371,0.0014
