csv_file,scene,screen_pct,cvar_name,cvar_value,frames_analysed,median_FrameTime,median_GameThreadTime,median_RenderThreadTime,median_GPUTime,median_RHIThreadTime,median_GPUMem/LocalUsedMB,median_GPU/TAA
Profile(20260401_183933).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.01,300,33.3342,1.5226,3.1177,13.2715,2.2917,2622.5273,0.2079
Profile(20260401_183957).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.02,300,33.3362,1.4614,3.0866,9.5892,2.2579,2624.4023,0.0794
Profile(20260401_184022).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.04,300,33.333,1.5128,3.1999,13.8474,2.3386,2622.5273,0.4296
Profile(20260401_184046).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.06,300,33.3386,1.5572,3.1761,9.58,2.3213,2622.5273,0.0922
Profile(20260401_184110).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.1,300,33.3361,1.4728,3.0623,9.7704,2.3034,2624.7773,0.0932
Profile(20260401_184134).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.2,300,33.3253,1.5136,3.1628,9.6668,2.328,2623.5273,0.0901
Profile(20260401_184159).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.5,300,33.33,1.5074,3.1091,13.5959,2.3324,2623.7773,0.1992
Profile(20260401_184223).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.6,300,33.3276,1.5214,3.1929,9.4792,2.3305,2622.5273,0.086
Profile(20260401_184247).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.7,300,33.3247,1.474,3.1121,13.3386,2.3193,2623.5273,0.2058
Profile(20260401_184311).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.8,300,33.3365,1.4761,3.0597,8.8898,2.3392,2622.5273,0.085
Profile(20260401_184336).csv,cubetest,100,r.TemporalAACurrentFrameWeight,0.9,300,33.3391,1.5109,3.0362,9.7496,2.3101,2622.3398,0.0932
Profile(20260401_184400).csv,cubetest,100,r.TemporalAACurrentFrameWeight,1.0,300,33.3306,1.537,3.106,10.4536,2.341,2623.7773,0.0947
Profile(20260401_184424).csv,cubetest,100,r.TemporalAASamples,4.0,300,33.3312,1.4807,3.0597,7.0048,2.2958,2622.5273,0.0707
Profile(20260401_184448).csv,cubetest,100,r.TemporalAASamples,8.0,300,33.3389,1.515,3.1044,13.2368,2.3002,2622.2773,0.2089
Profile(20260401_184513).csv,cubetest,100,r.TemporalAASamples,16.0,300,33.33,1.4832,3.0256,9.8087,2.2928,2623.5273,0.0901
Profile(20260401_184537).csv,cubetest,100,r.TemporalAASamples,32.0,300,33.3442,1.5061,3.1308,13.3498,2.3606,2623.7773,0.2089
Profile(20260401_184601).csv,cubetest,100,r.TemporalAASamples,64.0,300,33.3358,1.5082,3.1684,9.6974,2.2697,2622.7773,0.0881
Profile(20260401_184626).csv,cubetest,100,r.TemporalAAFilterSize,0.1,300,33.3326,1.5184,3.1272,7.8318,2.3041,2622.5273,0.0764
Profile(20260401_184650).csv,cubetest,100,r.TemporalAAFilterSize,0.25,300,33.3355,1.501,3.0541,13.6986,2.2686,2623.7773,0.2396
Profile(20260401_184714).csv,cubetest,100,r.TemporalAAFilterSize,0.5,300,33.335,1.5231,3.0702,9.7352,2.3152,2622.5273,0.0911
Profile(20260401_184738).csv,cubetest,100,r.TemporalAAFilterSize,0.7,300,33.3368,1.5244,3.2156,9.696,2.4193,2623.5273,0.087
Profile(20260401_184803).csv,cubetest,100,r.TemporalAAFilterSize,0.9,300,33.3359,1.4524,3.1073,11.4683,2.3925,2624.5273,0.1469
Profile(20260401_184827).csv,cubetest,100,r.TemporalAAFilterSize,0.95,300,33.3455,1.5383,3.3689,13.76,2.3558,2623.5273,0.2468
Profile(20260401_184851).csv,cubetest,100,r.TemporalAAFilterSize,1.0,300,33.3367,1.52,3.0459,13.3244,2.3095,2623.5273,0.1996
Profile(20260401_184915).csv,cubetest,100,r.TemporalAA.HistoryScreenPercentage,100.0,300,33.3377,1.503,3.1504,9.6748,2.2824,2622.5273,0.0871
Profile(20260401_184940).csv,cubetest,100,r.TemporalAA.HistoryScreenPercentage,125.0,300,33.33,1.5079,3.0863,13.087,2.3515,2623.5273,0.2059
Profile(20260401_185004).csv,cubetest,100,r.TemporalAA.HistoryScreenPercentage,150.0,300,33.334,1.4831,3.067,13.062,2.325,2623.9023,0.2043
Profile(20260401_185028).csv,cubetest,100,r.TemporalAA.HistoryScreenPercentage,200.0,300,33.337,1.5217,3.1482,9.8059,2.3353,2623.5273,0.0917
Profile(20260401_185052).csv,cubetest,87,r.TemporalAACurrentFrameWeight,0.01,300,33.3315,1.4754,3.1067,13.2349,2.3348,2560.8398,0.2293
Profile(20260401_185117).csv,cubetest,87,r.TemporalAACurrentFrameWeight,0.02,300,33.3354,1.4526,3.0422,13.2769,2.3306,2561.7148,0.2734
Profile(20260401_185141).csv,cubetest,87,r.TemporalAACurrentFrameWeight,0.04,300,33.3288,1.5184,3.1344,13.181,2.3829,2561.8398,0.2274
Profile(20260401_185205).csv,cubetest,87,r.TemporalAACurrentFrameWeight,0.06,300,33.33,1.5135,3.0715,13.2528,2.3412,2561.0898,0.2284
Profile(20260401_185230).csv,cubetest,87,r.TemporalAACurrentFrameWeight,0.1,300,33.3314,1.5003,3.1212,13.2052,2.3463,2560.5898,0.2335
