scene,param_group,param_value,cgvqm_score,mean_frame_error,max_frame_error,min_frame_error,std_frame_error,num_frames
abandoned,alpha_weight,0.01,95.590087890625,4.409908870061239,14.181777000427246,1.588977575302124,1.8308211771489022,150
abandoned,alpha_weight,0.02,95.7658920288086,4.234104798634847,14.093928337097168,1.497666835784912,1.830907962193341,150
abandoned,alpha_weight,0.04,96.06937408447266,3.9306285389264426,13.445734977722168,1.373033881187439,1.6694390834191561,150
abandoned,alpha_weight,0.06,96.24504089355469,3.7549560538927715,13.135042190551758,1.2944557666778564,1.6018143945206156,150
abandoned,alpha_weight,0.1,96.61121368408203,3.3887837155659994,11.877161979675293,1.166280746459961,1.3365568000968535,150
abandoned,alpha_weight,0.2,97.059326171875,2.9406753770510354,8.773146629333496,1.0112857818603516,0.8634216111421169,150
abandoned,alpha_weight,0.5,97.1762466430664,2.8237514368693035,4.821314811706543,0.9774024486541748,0.6305870869409014,150
abandoned,alpha_weight,0.6,97.05046844482422,2.9495306460062665,4.396915435791016,1.0402809381484985,0.640070830646975,150
abandoned,alpha_weight,0.7,96.87338256835938,3.126615533828735,5.076900482177734,1.0996090173721313,0.7386935906781941,150
abandoned,alpha_weight,0.8,96.64933776855469,3.3506638662020367,5.9475812911987305,1.1731537580490112,0.8484302866987754,150
abandoned,alpha_weight,0.9,96.34854125976562,3.6514550709724425,7.018723964691162,1.256173849105835,1.0082247412557452,150
abandoned,alpha_weight,1.0,96.05900573730469,3.9409959077835084,7.930510520935059,1.3534362316131592,1.12019861686285,150
abandoned,num_samples,16,95.97119903564453,4.028804002602895,13.976278305053711,1.407581090927124,1.7408608472281537,150
abandoned,num_samples,32,96.00823211669922,3.9917672594388325,12.981826782226562,1.3990288972854614,1.6570758142713304,150
abandoned,num_samples,4,95.8690185546875,4.130978676478068,14.433619499206543,1.4172327518463135,1.93279454042253,150
abandoned,num_samples,64,96.06421661376953,3.935786480108897,12.977371215820312,1.3930302858352661,1.6211245123650866,150
abandoned,num_samples,8,96.03197479248047,3.9680245327949524,13.475836753845215,1.3796813488006592,1.6868775447693298,150
abandoned,filter_size,0.1,96.01860046386719,3.9813965209325155,13.729143142700195,1.3904656171798706,1.7093214322538697,150
abandoned,filter_size,0.25,96.03531646728516,3.964683401584625,13.513917922973633,1.3841472864151,1.6859087111935966,150
abandoned,filter_size,0.5,96.03750610351562,3.9624978645642597,13.773588180541992,1.3781002759933472,1.7359947420721058,150
abandoned,filter_size,0.7,95.99142456054688,4.008577729860941,13.727457046508789,1.3802045583724976,1.7370870941836123,150
abandoned,filter_size,0.9,96.08976745605469,3.9102309878667194,13.497777938842773,1.3724863529205322,1.66443469194545,150
abandoned,filter_size,0.95,95.98739624023438,4.012607107162475,13.729011535644531,1.3784170150756836,1.756874411127121,150
abandoned,filter_size,1.0,96.03609466552734,3.963902748425802,13.674601554870605,1.3832179307937622,1.7032341424300592,150
abandoned,hist_percent,1,96.07715606689453,3.922841214338938,13.540714263916016,1.372133493423462,1.68868831601609,150
abandoned,hist_percent,10,95.96218872070312,4.037813421090444,13.839308738708496,1.3819410800933838,1.775388023523255,150
abandoned,hist_percent,100,96.0042953491211,3.9957053891817726,13.561832427978516,1.392638087272644,1.7037770961702403,150
abandoned,hist_percent,125,96.44282531738281,3.5571758437156675,11.433273315429688,1.2970695495605469,1.3773683694570131,150
abandoned,hist_percent,15,96.08747863769531,3.91251806418101,13.428345680236816,1.3706293106079102,1.6742151736283772,150
abandoned,hist_percent,150,96.67579650878906,3.3242058261235554,10.611926078796387,1.185617208480835,1.225189046740057,150
abandoned,hist_percent,200,96.89253997802734,3.1074600450197853,8.902414321899414,1.1168532371520996,1.026557960657031,150
abandoned,hist_percent,30,95.96401977539062,4.035984471638997,13.776131629943848,1.3887845277786255,1.7544609005463732,150
abandoned,hist_percent,5,96.04389190673828,3.9561118570963543,13.703590393066406,1.3746275901794434,1.7068898014637106,150
abandoned,hist_percent,50,96.04115295410156,3.9588478136062624,13.580198287963867,1.3784719705581665,1.704042172281597,150
abandoned,hist_percent,75,96.02863311767578,3.971369875272115,13.441667556762695,1.376258373260498,1.687283691953817,150
abandoned-demo,alpha_weight,0.01,97.09347534179688,2.906521561543147,6.812251567840576,0.8987080454826355,1.0260621589711723,150
abandoned-demo,alpha_weight,0.02,97.11803436279297,2.881967442035675,6.804080963134766,0.8943512439727783,1.012028893855128,150
abandoned-demo,alpha_weight,0.04,97.17508697509766,2.8249114696184794,6.751237392425537,0.8742326498031616,0.9871207044761372,150
abandoned-demo,alpha_weight,0.06,97.23123931884766,2.768758550484975,6.624879360198975,0.8547526597976685,0.9570776780204963,150
abandoned-demo,alpha_weight,0.1,97.33617401123047,2.663829595645269,6.311391353607178,0.831260085105896,0.8942461097698244,150
abandoned-demo,alpha_weight,0.2,97.53944396972656,2.460558005174001,5.3634138107299805,0.8071876168251038,0.7492295740338183,150
abandoned-demo,alpha_weight,0.5,97.83453369140625,2.1654659219582877,3.8624823093414307,0.7322781085968018,0.580791646555221,150
abandoned-demo,alpha_weight,0.6,97.85547637939453,2.144527110258738,4.087671279907227,0.7211732268333435,0.5884980584615729,150
abandoned-demo,alpha_weight,0.7,97.85310363769531,2.14689901749293,4.458155632019043,0.7149852514266968,0.6257003986702374,150
abandoned-demo,alpha_weight,0.8,97.82616424560547,2.1738380710283915,4.963853359222412,0.714396059513092,0.6916389201623241,150
abandoned-demo,alpha_weight,0.9,97.77515411376953,2.224844809770584,5.599202632904053,0.7185919880867004,0.7770027472503941,150
abandoned-demo,alpha_weight,1.0,97.71185302734375,2.2881436359882357,6.362484455108643,0.7256019711494446,0.8935675640075108,150
abandoned-demo,num_samples,16,97.14759826660156,2.8524046711126965,6.911926746368408,0.8976492285728455,0.9886863407888827,150
abandoned-demo,num_samples,32,97.18463897705078,2.8153606514135996,6.5824198722839355,0.8728665709495544,0.9685195152663791,150
abandoned-demo,num_samples,4,97.04129028320312,2.9587124951680503,7.102329254150391,0.9047735929489136,1.0394013541889053,150
abandoned-demo,num_samples,64,97.18563079833984,2.8143708137671153,6.580076217651367,0.8744499683380127,0.9694571017341695,150
abandoned-demo,num_samples,8,97.17475891113281,2.8252423338095345,6.727495193481445,0.8757920265197754,0.9851677893283952,150
abandoned-demo,filter_size,0.1,97.17375183105469,2.826247392098109,6.758976459503174,0.8760485649108887,0.9867972025864965,150
abandoned-demo,filter_size,0.25,97.17487335205078,2.8251254705588025,6.721266269683838,0.8715481162071228,0.9852118073844701,150
abandoned-demo,filter_size,0.5,97.17279815673828,2.827204641898473,6.73328971862793,0.8830167651176453,0.9847675575654243,150
abandoned-demo,filter_size,0.7,97.17068481445312,2.8293132189909618,6.7408318519592285,0.8840930461883545,0.982807553866922,150
abandoned-demo,filter_size,0.9,97.1755599975586,2.824438658952713,6.732277870178223,0.871554970741272,0.9864212054420884,150
abandoned-demo,filter_size,0.95,97.17449188232422,2.825511599779129,6.740994930267334,0.8752180933952332,0.9864134005204211,150
abandoned-demo,filter_size,1.0,97.17461395263672,2.8253880977630614,6.7198262214660645,0.8793919086456299,0.9840451040253855,150
abandoned-demo,hist_percent,1,97.17256164550781,2.827439303000768,6.7460784912109375,0.8837020993232727,0.9842954439095686,150
abandoned-demo,hist_percent,10,97.17619323730469,2.8238088611761727,6.740489482879639,0.8677798509597778,0.9875497790559027,150
abandoned-demo,hist_percent,100,97.17546081542969,2.824537313381831,6.730047225952148,0.8713895082473755,0.986334495954977,150
abandoned-demo,hist_percent,125,97.45494079589844,2.5450570491949716,5.975979804992676,0.7829570770263672,0.8831860837274675,150
abandoned-demo,hist_percent,15,97.17716217041016,2.8228401307264965,6.724975109100342,0.8654926419258118,0.9867046878668321,150
abandoned-demo,hist_percent,200,97.78692626953125,2.2130723019440968,5.006041049957275,0.7016191482543945,0.7053970749171249,150
abandoned-demo,hist_percent,30,97.17218017578125,2.8278181687990824,6.747379302978516,0.8835300803184509,0.9841391014947003,150
abandoned-demo,hist_percent,5,97.17485809326172,2.8251398038864135,6.726628303527832,0.8787029385566711,0.9839353039455421,150
abandoned-demo,hist_percent,50,97.17467498779297,2.8253238848845164,6.734686374664307,0.8775080442428589,0.9859539098012133,150
abandoned-demo,hist_percent,75,97.17340850830078,2.8265897754828133,6.735352516174316,0.8779096603393555,0.9847382678371371,150
abandoned-flipped,alpha_weight,0.01,92.91659545898438,7.083402458826701,26.85765266418457,2.3867244720458984,3.6315994520776784,150
abandoned-flipped,alpha_weight,0.02,92.98928833007812,7.010713121096293,26.57783317565918,2.413435697555542,3.5385295625051594,150
abandoned-flipped,alpha_weight,0.04,93.31248474121094,6.687513049443563,25.696964263916016,2.3560433387756348,3.2808063180111344,150
abandoned-flipped,alpha_weight,0.06,93.42806243896484,6.57193912823995,24.722105026245117,2.3748652935028076,3.0397310736626397,150
abandoned-flipped,alpha_weight,0.1,93.89234161376953,6.107655418713888,22.396995544433594,2.321150541305542,2.604776867270466,150
abandoned-flipped,alpha_weight,0.2,94.4103012084961,5.589697812398275,17.05495834350586,2.2421529293060303,1.897527985023944,150
abandoned-flipped,alpha_weight,0.5,94.52217102050781,5.477832592328389,13.096236228942871,2.195176601409912,1.8933000852924373,150
abandoned-flipped,alpha_weight,0.6,94.42790222167969,5.572096006075541,14.299695014953613,2.1765055656433105,2.1224192647390594,150
abandoned-flipped,alpha_weight,0.7,94.05693054199219,5.9430661217371625,16.167991638183594,2.249159812927246,2.5035890499283693,150
abandoned-flipped,alpha_weight,0.8,93.88276672363281,6.117233645121257,17.942617416381836,2.244140148162842,2.8765588436511766,150
abandoned-flipped,alpha_weight,0.9,93.45223999023438,6.547757016817728,20.888425827026367,2.3265421390533447,3.377773759513401,150
abandoned-flipped,alpha_weight,1.0,93.04051971435547,6.95947769800822,24.1051082611084,2.3583734035491943,3.914157862025086,150
abandoned-flipped,num_samples,16,93.28119659423828,6.718804047902425,26.21254539489746,2.4185869693756104,3.3699605934947012,150
abandoned-flipped,num_samples,32,93.09330749511719,6.906690405209859,25.195270538330078,2.461669683456421,3.25394819157019,150
abandoned-flipped,num_samples,4,93.13504791259766,6.8649486033121745,26.484540939331055,2.376162052154541,3.5006264319108094,150
abandoned-flipped,num_samples,64,93.25990295410156,6.740098180770874,25.326751708984375,2.4045588970184326,3.2644152021634123,150
abandoned-flipped,num_samples,8,93.30850982666016,6.691488973299662,25.937824249267578,2.358158826828003,3.3176481379597753,150
abandoned-flipped,filter_size,0.1,93.23648834228516,6.763511830965678,25.891616821289062,2.3954384326934814,3.303567505460689,150
abandoned-flipped,filter_size,0.25,93.2577133178711,6.742286321322124,25.731853485107422,2.3624367713928223,3.2790942061129407,150
abandoned-flipped,filter_size,0.7,93.24227142333984,6.757730081876119,25.75283432006836,2.3800454139709473,3.281699035942326,150
