scene,screen_pct,cvar_name,cvar_value,avg_frame_ms,avg_gpu_ms,avg_game_ms,avg_render_ms,avg_rhi_ms,avg_mem_mb,peak_mem_mb,frames_analysed,csv_file
cubetest,100,r.TemporalAACurrentFrameWeight,0.01,33.2381,7.5677,2.8731,4.3896,2.7634,2616.9646,2874.0312,300,Profile(20260327_185928).csv
cubetest,100,r.TemporalAACurrentFrameWeight,0.02,33.2375,11.3297,2.9946,4.8029,2.8687,2627.158,2875.0625,300,Profile(20260327_185947).csv
cubetest,100,r.TemporalAACurrentFrameWeight,0.04,33.238,11.0416,3.0386,4.975,3.0182,2618.1606,2875.0625,300,Profile(20260327_190006).csv
cubetest,100,r.TemporalAACurrentFrameWeight,0.06,33.2393,11.1043,2.9551,4.5225,2.8455,2619.196,2876.0625,300,Profile(20260327_190025).csv
cubetest,100,r.TemporalAACurrentFrameWeight,0.1,33.2388,10.9302,2.9276,4.4863,2.8478,2617.6239,2874.0625,300,Profile(20260327_190044).csv
cubetest,100,r.TemporalAACurrentFrameWeight,0.2,33.2392,10.8368,3.1952,5.1474,2.9975,2621.3608,2879.0625,300,Profile(20260327_190103).csv
cubetest,100,r.TemporalAACurrentFrameWeight,0.5,33.2424,10.8737,3.0399,4.8388,2.8873,2617.1004,2874.0625,300,Profile(20260327_190122).csv
cubetest,100,r.TemporalAACurrentFrameWeight,0.6,33.2411,10.7881,3.1675,5.0989,2.9685,2617.0581,2874.3125,300,Profile(20260327_190140).csv
cubetest,100,r.TemporalAACurrentFrameWeight,0.7,33.2387,10.5523,2.8748,4.3897,2.7418,2621.4858,2879.3125,300,Profile(20260327_190159).csv
cubetest,100,r.TemporalAACurrentFrameWeight,0.8,33.2419,10.8367,3.0241,4.6844,2.9023,2617.8906,2875.0312,300,Profile(20260327_190218).csv
cubetest,100,r.TemporalAACurrentFrameWeight,0.9,33.2392,11.7619,3.2201,4.8389,2.8827,2617.4627,2874.0625,300,Profile(20260327_190237).csv
cubetest,100,r.TemporalAACurrentFrameWeight,1.0,33.241,9.9409,3.103,5.0103,2.8952,2618.6119,2875.3125,300,Profile(20260327_190256).csv
cubetest,100,r.TemporalAASamples,4,33.2407,11.1576,2.8897,4.267,2.6961,2621.4525,2879.0625,300,Profile(20260327_190315).csv
cubetest,100,r.TemporalAASamples,8,33.2375,10.9308,3.0468,4.9703,2.8975,2615.9429,2873.3125,300,Profile(20260327_190334).csv
cubetest,100,r.TemporalAASamples,16,33.2369,11.3187,2.9171,4.6094,2.7651,2621.2329,2879.0625,300,Profile(20260327_190353).csv
cubetest,100,r.TemporalAASamples,32,33.24,11.0308,2.9284,4.5824,2.8198,2617.8877,2874.8125,300,Profile(20260327_190412).csv
cubetest,100,r.TemporalAASamples,64,33.2397,7.1723,2.9351,4.5741,2.8292,2616.3377,2873.8125,300,Profile(20260327_190431).csv
cubetest,100,r.TemporalAAFilterSize,0.1,33.2393,6.739,3.0953,4.6639,2.859,2618.0712,2875.0625,300,Profile(20260327_190450).csv
cubetest,100,r.TemporalAAFilterSize,0.25,33.2397,10.9196,2.9564,4.7289,2.8454,2618.1185,2875.3125,300,Profile(20260327_190509).csv
cubetest,100,r.TemporalAAFilterSize,0.5,33.2385,11.3498,2.7891,4.0966,2.7562,2616.2589,2873.3125,300,Profile(20260327_190528).csv
cubetest,100,r.TemporalAAFilterSize,0.7,33.2389,11.0619,2.7435,4.0912,2.6451,2619.03,2876.0625,300,Profile(20260327_190547).csv
cubetest,100,r.TemporalAAFilterSize,0.9,33.2376,11.1134,2.6893,3.9631,2.5388,2617.0137,2874.0625,300,Profile(20260327_190606).csv
cubetest,100,r.TemporalAAFilterSize,0.95,33.2373,11.2622,2.8145,4.1625,2.6865,2631.5953,2879.8125,300,Profile(20260327_190625).csv
cubetest,100,r.TemporalAAFilterSize,1.0,33.2367,11.1365,2.7496,4.0412,2.6097,2616.8039,2873.8125,300,Profile(20260327_190644).csv
cubetest,100,r.TemporalAA.HistoryScreenPercentage,100,33.2373,10.7746,2.6298,3.9159,2.658,2616.7798,2873.5625,300,Profile(20260327_190703).csv
cubetest,100,r.TemporalAA.HistoryScreenPercentage,125,33.2377,10.6715,2.6998,3.9872,2.5812,2616.8921,2874.3125,300,Profile(20260327_190721).csv
cubetest,100,r.TemporalAA.HistoryScreenPercentage,150,33.2396,10.8731,2.7726,4.0732,2.6023,2616.9662,2874.0625,300,Profile(20260327_190740).csv
