scene,total_frames,processed_frames,flow_mean_avg,flow_mean_std,flow_mean_max,flow_std_avg,flow_std_std,flow_std_max,flow_max_avg,flow_max_std,flow_max_max,flow_median_avg,flow_median_std,flow_median_max,flow_95th_avg,flow_95th_std,flow_95th_max,edge_density_avg,edge_density_std,texture_variance_avg,texture_variance_std,high_freq_energy_avg,high_freq_energy_std,contrast_avg,contrast_std,brightness_avg,brightness_std,color_entropy_avg,color_entropy_std,saturation_mean_avg,saturation_mean_std,saturation_std_avg,saturation_std_std,temporal_activity_avg,temporal_activity_std,temporal_variance_avg,temporal_variance_std
abandoned,150,30,4.3083086,1.8162743,6.6149607,6.4990764,2.7371721,10.834477,74.81773,34.271057,148.43042,0.31027818,0.12270246,0.50465137,15.926977,6.672591,23.525095,0.018103909465020575,0.0015114869495384787,60.73360819502914,6.70247338389581,0.8617155202097282,0.008773158685104828,30.96134587383959,3.1816010607801735,24.004155205118316,2.7553487866214357,4.1814857,0.0581836,139.26179103973763,4.709806535268031,66.79738514701582,0.8158411381037104,9.910495373696254,1.976763549618955,22.177572542464052,3.1355699160244086
abandoned-demo,150,30,6.279141,1.2289317,9.212502,10.040933,1.3263361,12.192346,102.89567,23.154854,151.33531,1.3572398,1.5278853,5.8141966,26.946138,4.036892,35.97466,0.016050845550411523,0.003522147869392706,29.64157324262792,5.326266141539501,0.7786695637044094,0.01623028114106301,43.44961042485542,3.3006303654432485,97.05737284593621,4.122755392605206,3.9006886,0.20817626,80.44289797132201,8.986377988129037,42.77062110953406,8.132365536731976,19.342297237521283,5.889049208179212,29.737572806191277,4.174925931661004
abandoned-flipped,150,30,10.9327965,3.8982382,18.265701,9.642818,3.6027825,13.282065,61.508347,21.948843,95.10975,9.372149,4.8360586,21.274364,28.093382,10.79975,41.223923,0.0656049704218107,0.012004150411884861,205.86325043019136,68.93599744918366,0.8857461318581298,0.015191776992784874,38.70889852697291,1.096668519702864,54.08836244534465,4.639865986968946,4.0852427,0.046408568,108.50955169753087,5.573623283292202,46.0840070141486,2.337351814872025,22.542842216767777,7.011372665046584,29.497190741471623,8.325701469972259
cubetest,150,30,7.0041723,1.776405,10.617004,11.268371,3.6288035,21.155973,103.034454,25.365082,153.06279,0.41927928,0.22220297,0.79564553,30.697239,12.181347,63.32672,0.02910378086419753,0.003659913602621094,95.32627022287589,16.931942082130345,0.8383381505912181,0.011020762995851486,60.869940588390975,4.147689855263426,151.66284833140435,0.9482589383808213,4.2555943,0.15011904,40.66028367734053,2.857745423557895,19.40313737126117,1.4486407898815334,23.101312177389318,3.2620405458214474,35.30745721660815,3.7534279070722696
fantasticvillage-open,150,30,0.49136102,0.63193494,1.8871049,2.9713695,4.1006703,11.930893,90.52093,131.2721,394.6234,0.0029777915,0.0030645747,0.0100700855,2.3448536,3.167552,10.811762,0.026551649305555553,0.0015393729817547365,54.07636650813409,1.798820264271687,0.804779536721676,0.0035620792874562187,54.845156623924844,2.5076052858720277,146.74657368827164,8.53084279618484,4.4623566,0.27352375,114.69310746206276,9.144665333431593,51.24304593382735,4.498971254767899,1.3641797207588335,1.630828688312651,5.586122010612946,6.126611122879352
lightfoliage,150,30,7.694249,2.7381995,14.969194,8.071305,1.9316404,12.968308,46.32702,9.534413,78.799805,5.619115,3.72154,17.06349,23.153572,5.8057466,37.2395,0.032103298611111115,0.02790471241915368,47.40837167843309,35.964726342565555,0.8602894645274518,0.028086066494733157,32.19495285982276,0.911291950859582,53.07997386188272,0.8948668303745866,4.0602098,0.086239554,142.34943004115223,3.0381621732099977,41.445803292412265,2.729906736170865,15.149511045258619,0.913008131835035,17.976680006085743,0.8630894422545082
lightfoliage-close,150,30,4.4790564,1.1494222,6.246691,7.033914,1.2726871,9.0979595,64.45336,14.913182,97.59429,0.61932653,0.476955,1.4160837,19.769363,3.9589193,24.943298,0.050333558384773665,0.007288673826578628,279.8917749130268,67.43098833094557,0.8990071882883991,0.008234187515798134,74.27559657201442,2.1594278845771053,60.42218970228909,0.8947548991420926,5.0349226,0.08654162,102.3816791248714,5.826969974998997,95.10424923186466,1.2236565337588823,11.673286870742869,3.205478685740382,25.433850606547402,3.986314947589421
oldmine,150,30,4.206467,0.66893387,5.298778,4.3989725,0.3616341,5.1375175,34.130547,7.5387692,56.624313,2.8754096,0.5521391,3.914349,13.567104,1.3283684,16.145515,0.036223588605967076,0.0033459381264159633,149.093156967747,3.6756255550740526,0.8705432144834365,0.006418995873994053,58.6579207297327,1.1516143137985806,57.848888422710914,5.398148662672568,4.2565913,0.041245136,99.82481131044239,1.463745021872967,74.73488311473747,1.6890719380200336,11.744442931167518,1.977439791372007,20.351372755753367,2.20628029185436
oldmine-close,148,29,0.0006566055,0.0012849873,0.0058462266,0.003659334,0.002639519,0.013416105,1.0057954,0.30287737,1.1318154,5.2281384e-06,2.5436277e-05,0.0001372534,0.0034378297,0.007093805,0.030276991,0.017171901607066838,3.63622038039834e-05,15.259246712148165,0.004775024785582083,0.8169228574504926,1.472806890926135e-05,31.755541514421733,0.00021940171149478522,34.195103850707746,0.010542242075702493,4.452304,0.00033171463,98.00161065879097,0.08589655691178771,65.1236701274228,0.01370648477777472,0.005605813216490299,0.014151297605314701,0.04848824609893711,0.06769152878611849
oldmine-warm,151,30,3.055122,0.10243878,3.2580123,3.7322972,0.072013296,3.9668565,23.340742,1.8391306,28.899946,1.6322029,0.15248634,1.8393974,10.619731,0.14715809,11.084183,0.04991284079218108,0.001354134269527396,79.43139237537982,4.976608400307965,0.864854466523431,0.0012471502872232303,40.897078879696586,2.005899952652734,30.91520060120884,2.234815247014801,3.4148715,0.061207943,151.69898813657403,3.120167121849025,103.57851532290293,1.919212437918392,8.253140365581098,0.369153324739318,15.495308886587223,0.39984418805671573
